Time,can_torque.Tau1,can_torque.Tau2,can_state.Omega1,can_state.Omega2,can_state.Theta1,can_state.Theta2,I1,I2,b1,b2,g,l1,l2,lc1,lc2,m1,m2,n_substeps,omega1_0,omega2_0,reset,theta1_0,theta2_0
0.4000000000000002,0.0,0.0,-2.3951803102080365,-1.1352150303883146,0.20359891860653545,0.8592141158782268,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.4100000000000002,0.0,0.0,-2.346915094009117,-1.3513024307664434,0.1798856675189858,0.846781719853507,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.4200000000000002,0.0,0.0,-2.2951946584688847,-1.5675089043909896,0.1566721331378812,0.8321876752759203,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.4300000000000002,0.0,0.0,-2.2397624146192068,-1.7836405002114029,0.13399414707460958,0.8154317956705084,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.4400000000000002,0.0,0.0,-2.180361944573421,-1.9995423089803301,0.1118901132166195,0.7965156351477182,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.45000000000000023,0.0,0.0,-2.116745325704285,-2.2150948117198723,0.09040096382889928,0.775442117481651,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.46000000000000024,0.0,0.0,-2.048680972131603,-2.4302112210493623,0.06957003515901883,0.7522151959103767,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.47000000000000025,0.0,0.0,-1.9759614110219421,-2.644834780155677,0.049442865321559996,0.7268395388312028,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.48000000000000026,0.0,0.0,-1.8984114764801308,-2.8589348588042465,0.03006691277339764,0.6993202474808418,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.49000000000000027,0.0,0.0,-1.8158975185810755,-3.072500475457589,0.011491188335084114,0.6696626242683626,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.5000000000000002,0.0,0.0,-1.7283383992324397,-3.2855295573046375,-0.0062342130792224955,0.6378720256259368,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
